Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Loss	Loss_critic	Learning_rate	Exploration
8.770501613616943	24	8.54	4.821659465370818	25.0	3.0	8.54	4.821659465370818	0.8076057	9.7506895	0.0005	0.784
9.067518711090088	25	7.48	4.095070206968374	21.0	3.0	7.48	4.095070206968374	0.79887724	9.462702	0.0005	0.775
9.38353681564331	26	7.98	3.3614877658560647	19.0	3.0	7.98	3.3614877658560647	0.79823947	9.147431	0.0005	0.766
9.702555179595947	27	7.98	4.973891836379235	33.0	3.0	7.98	4.973891836379235	0.79604614	10.603629	0.0005	0.757
10.039574384689331	28	8.56	4.792327200849291	25.0	3.0	8.56	4.792327200849291	0.79583704	10.261688	0.0005	0.748
10.368593215942383	29	8.42	5.359440269281858	24.0	3.0	8.42	5.359440269281858	0.79363745	11.993255	0.0005	0.739
10.740614414215088	30	9.3	4.095119045888654	21.0	4.0	9.3	4.095119045888654	0.7940153	9.924013	0.0005	0.73
11.091634511947632	31	9.06	5.224595678136252	29.0	3.0	9.06	5.224595678136252	0.7915897	11.040927	0.0005	0.721
11.42465353012085	32	8.54	4.396407624413369	20.0	3.0	8.54	4.396407624413369	0.78833467	13.142322	0.0005	0.712
11.777673721313477	33	8.78	5.375090696909216	33.0	3.0	8.78	5.375090696909216	0.78646976	11.106387	0.0005	0.703
12.146694898605347	34	9.58	4.968259252494781	26.0	3.0	9.58	4.968259252494781	0.7890404	12.105916	0.0005	0.694
12.513715744018555	35	9.48	4.239056498797816	21.0	3.0	9.48	4.239056498797816	0.78649366	11.204216	0.0005	0.685
12.86673617362976	36	8.98	6.136741806528933	41.0	3.0	8.98	6.136741806528933	0.7830149	11.279357	0.0005	0.6759999999999999
13.22175645828247	37	9.14	4.472180676135524	25.0	3.0	9.14	4.472180676135524	0.7818521	11.270162	0.0005	0.667
13.58277678489685	38	9.3	6.7	40.0	4.0	9.3	6.7	0.7812269	11.897901	0.0005	0.6579999999999999
13.949797868728638	39	9.3	5.419409561935692	26.0	4.0	9.3	5.419409561935692	0.7800089	12.73887	0.0005	0.649
14.32081937789917	40	9.36	4.14613072635198	24.0	4.0	9.36	4.14613072635198	0.777758	10.767313	0.0005	0.6399999999999999
14.644837617874146	41	8.02	3.6138068570414767	27.0	4.0	8.02	3.6138068570414767	0.7696953	11.008029	0.0005	0.631
